system:index,01-2018 to 02-2018,01-2019 to 02-2019,01-2020 to 02-2020,02-2018 to 03-2018,02-2019 to 03-2019,02-2020 to 03-2020,03-2018 to 04-2018,03-2019 to 04-2019,03-2020 to 04-2020,04-2018 to 05-2018,04-2019 to 05-2019,04-2020 to 05-2020,05-2018 to 06-2018,05-2019 to 06-2019,05-2020 to 06-2020,06-2018 to 07-2018,06-2019 to 07-2019,06-2020 to 07-2020,07-2018 to 08-2018,07-2019 to 08-2019,07-2020 to 08-2020,08-2018 to 09-2018,08-2019 to 09-2019,08-2020 to 09-2020,09-2018 to 10-2018,09-2019 to 10-2019,09-2020 to 10-2020,10-2018 to 11-2018,10-2019 to 11-2019,10-2020 to 11-2020,11-2018 to 12-2018,11-2019 to 12-2019,11-2020 to 12-2020,12-2018 to 01-2019,12-2019 to 01-2020,12-2020 to 01-2021,date,.geo
22,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
23,0.18147186934947968,0.31893253326416016,0.2609890103340149,0.4191855788230896,0.441319078207016,0.47715330123901367,0.3496767580509186,0.40851902961730957,0.49612945318222046,0.19920441508293152,0.21694214642047882,0.24593797326087952,0.1386418640613556,0.08823568373918533,0.11804106086492538,,,0.031247243285179138,-0.006110782735049725,,0.05662519857287407,,0.4598384201526642,0.1106480062007904,0.42842864990234375,0.49650654196739197,0.49155575037002563,0.2561037838459015,0.47975897789001465,0.06859330087900162,0.3249879777431488,0.2941630780696869,0.12412428110837936,0.07939135283231735,0.1319965273141861,0.08113862574100494,"Saturday, February 1, 2020","{""type"":""Point"",""coordinates"":[95.19,16.59]}"
24,0.18147186934947968,0.31893253326416016,0.2609890103340149,0.4191855788230896,0.441319078207016,0.47715330123901367,0.3496767580509186,0.40851902961730957,0.49612945318222046,0.19920441508293152,0.21694214642047882,0.24593797326087952,0.1386418640613556,0.08823568373918533,0.11804106086492538,,,0.031247243285179138,-0.006110782735049725,,0.05662519857287407,,0.4598384201526642,0.1106480062007904,0.42842864990234375,0.49650654196739197,0.49155575037002563,0.2561037838459015,0.47975897789001465,0.06859330087900162,0.3249879777431488,0.2941630780696869,0.12412428110837936,0.07939135283231735,0.1319965273141861,0.08113862574100494,"Saturday, February 1, 2020","{""type"":""Point"",""coordinates"":[95.19,16.59]}"
25,0.28412604331970215,0.1822427660226822,0.07025624811649323,0.3961101472377777,0.22173012793064117,0.22496823966503143,0.2684256136417389,0.10022341459989548,0.24942491948604584,0.2490437626838684,0.13636568188667297,0.3172031044960022,0.2839925289154053,0.25396859645843506,0.25889235734939575,0.1747034341096878,0.06366559118032455,0.2078273594379425,0.1657879650592804,0.11376791447401047,0.18628084659576416,0.1608295887708664,0.17159758508205414,0.16148848831653595,0.13907642662525177,0.15938381850719452,0.1565939486026764,0.1314433068037033,0.1391333043575287,0.15012681484222412,0.10979995131492615,0.13105621933937073,0.1790282130241394,0.1615440994501114,0.07992935180664062,0.15853559970855713,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.61,-11.49]}"
26,0.14619429409503937,0.26051709055900574,0.07862310856580734,0.2810401916503906,0.25933837890625,0.08986901491880417,0.2985846996307373,0.33375269174575806,0.12299743294715881,0.2937982976436615,0.13748714327812195,0.3725982904434204,0.26561927795410156,0.2395474910736084,0.24005258083343506,0.21899300813674927,0.1918022632598877,0.23354563117027283,0.1779586523771286,0.1090070977807045,0.19812867045402527,0.18189971148967743,0.14132916927337646,0.10693547129631042,0.16850577294826508,0.15957267582416534,0.16980978846549988,0.13127003610134125,0.16981928050518036,0.17579153180122375,0.11859942227602005,0.137506365776062,0.19982168078422546,0.2331228107213974,0.09636618196964264,0.1865641474723816,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.64,-11.45]}"
27,0.12907955050468445,0.04948952794075012,0.0387074314057827,0.30201518535614014,0.224179208278656,0.0821785181760788,0.439487487077713,0.4185335338115692,0.20807068049907684,0.2911527454853058,0.0842195376753807,0.29573702812194824,0.18154758214950562,0.15434344112873077,0.12518510222434998,0.1803828775882721,0.06115693598985672,0.09936972707509995,0.15239621698856354,0.057127419859170914,0.12110837548971176,0.16324324905872345,0.07363760471343994,0.10390393435955048,0.14846956729888916,0.09318676590919495,0.11450302600860596,0.0984380766749382,0.12525644898414612,0.1064661517739296,0.08349016308784485,0.11618617177009583,0.11051403731107712,0.1325010061264038,0.1439693421125412,0.09008170664310455,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.88,-11.38]}"
28,0.28412604331970215,0.1822427660226822,0.07025624811649323,0.3961101472377777,0.22173012793064117,0.22496823966503143,0.2684256136417389,0.10022341459989548,0.24942491948604584,0.2490437626838684,0.13636568188667297,0.3172031044960022,0.2839925289154053,0.25396859645843506,0.25889235734939575,0.1747034341096878,0.06366559118032455,0.2078273594379425,0.1657879650592804,0.11376791447401047,0.18628084659576416,0.1608295887708664,0.17159758508205414,0.16148848831653595,0.13907642662525177,0.15938381850719452,0.1565939486026764,0.1314433068037033,0.1391333043575287,0.15012681484222412,0.10979995131492615,0.13105621933937073,0.1790282130241394,0.1615440994501114,0.07992935180664062,0.15853559970855713,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.61,-11.49]}"
29,0.1213517040014267,0.04275268688797951,0.03559223935008049,0.2754251956939697,0.26138433814048767,0.12235196679830551,0.30813297629356384,0.2533029019832611,0.13172397017478943,0.3186786472797394,0.05314892530441284,0.20635667443275452,0.10284518450498581,0.16260243952274323,0.1575375348329544,0.2192314714193344,0.041564393788576126,0.09625176340341568,0.10939878225326538,0.0951591432094574,0.08883290737867355,0.18763583898544312,0.07859083265066147,0.16018734872341156,0.16921083629131317,0.1152377799153328,0.13221076130867004,0.09505607187747955,0.183403879404068,0.17619918286800385,0.11763938516378403,0.1335201859474182,0.14074073731899261,0.16685853898525238,0.1626557558774948,0.07528562843799591,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.93,-11.39]}"
30,0.14608199894428253,0.05433614179491997,0.04172402247786522,0.2538084089756012,0.24921190738677979,0.10996852815151215,0.375288188457489,0.4587714374065399,0.11299215257167816,0.11009318381547928,0.0674595907330513,0.3255573809146881,0.0986219272017479,0.19793502986431122,0.11318846046924591,0.18087978661060333,0.04535380378365517,0.12781159579753876,0.08837896585464478,0.13634833693504333,0.05955367535352707,0.16656772792339325,0.06990164518356323,0.12465395033359528,0.12087959796190262,0.11953943967819214,0.05166725814342499,0.07417116314172745,0.14001671969890594,0.11571326106786728,0.08968349546194077,0.11781627684831619,0.12366151809692383,0.12182609736919403,0.14130201935768127,0.09701956063508987,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.87,-11.37]}"
31,0.14619429409503937,0.26051709055900574,0.07862310856580734,0.2810401916503906,0.25933837890625,0.08986901491880417,0.2985846996307373,0.33375269174575806,0.12299743294715881,0.2937982976436615,0.13748714327812195,0.3725982904434204,0.26561927795410156,0.2395474910736084,0.24005258083343506,0.21899300813674927,0.1918022632598877,0.23354563117027283,0.1779586523771286,0.1090070977807045,0.19812867045402527,0.18189971148967743,0.14132916927337646,0.10693547129631042,0.16850577294826508,0.15957267582416534,0.16980978846549988,0.13127003610134125,0.16981928050518036,0.17579153180122375,0.11859942227602005,0.137506365776062,0.19982168078422546,0.2331228107213974,0.09636618196964264,0.1865641474723816,"Friday, January 31, 2020","{""type"":""Point"",""coordinates"":[33.64,-11.45]}"
